chr_window	start	stop	ADref	ADalt	DP	nbSNP_Aref	nbSNP_Aalt	tot_snps
Chr1_1	250461	1098586	6	8	14	3	3	3
Chr1_2	1579976	1754785	10	10	20	3	3	3
Chr1_3	1931254	2382166	20	18	38	6	5	6
Chr1_4	2263245	3348474	19	19	38	6	6	6
Chr1_5	2425803	4328503	18	13	31	5	6	6
Chr1_6	3822844	4492839	17	23	40	5	6	6
Chr1_7	4395326	4796463	19	24	43	6	5	6
Chr1_8	4507768	5067846	18	19	37	6	5	6
Chr1_9	4976250	5440071	18	18	36	6	6	6
Chr1_10	5200189	5856286	14	10	24	6	5	6
Chr1_11	5514964	6698327	9	11	20	5	5	6
Chr1_12	6161053	7053463	12	16	28	5	6	6
Chr1_13	6772091	7305335	14	16	30	5	6	6
Chr1_14	7137682	7670158	12	15	27	5	5	6
Chr1_15	7466591	8246532	18	18	36	6	5	6
Chr1_16	8093651	9197599	23	16	39	6	6	6
Chr1_17	8603638	9705263	16	19	35	5	6	6
Chr1_18	9465971	9929918	16	21	37	5	6	6
Chr1_19	9841070	10484765	16	10	26	6	5	6
Chr1_20	9981938	10816879	20	9	29	6	5	6
Chr1_21	10614759	11120485	23	12	35	6	6	6
Chr1_22	10837308	11375472	19	15	34	6	6	6
Chr1_23	11250138	11858316	13	22	35	6	6	6
Chr1_24	11538912	12044376	11	25	36	6	6	6
Chr1_25	11911076	12224569	17	26	43	6	6	6
Chr1_26	12122843	12343453	24	24	48	6	6	6
Chr1_27	12280904	12665774	23	15	38	6	5	6
Chr1_28	12377719	12990349	18	12	30	6	5	6
Chr1_29	12704431	13311753	17	17	34	5	6	6
Chr1_30	13112248	13993655	19	15	34	5	6	6
Chr1_31	13332402	14155913	22	11	33	6	6	6
Chr1_32	14053928	15500488	13	8	21	6	4	6
Chr1_33	14299950	15740510	12	4	16	6	3	6
Chr1_34	15623101	16026160	19	14	33	6	5	6
Chr1_35	15758256	16097351	26	19	45	6	6	6
Chr1_36	16090970	16468551	29	15	44	6	6	6
Chr1_37	16210979	16632544	19	15	34	6	6	6
Chr1_38	16501635	17296501	17	13	30	6	6	6
Chr1_39	16934677	17494580	19	11	30	6	6	6
Chr1_40	17429863	17985253	11	10	21	5	5	6
Chr1_41	17611670	18411725	8	9	17	5	5	6
Chr1_42	17991187	18770881	11	18	29	5	6	6
Chr1_43	18678696	19517104	14	25	39	5	6	6
Chr1_44	19457685	20064072	11	20	31	5	6	6
Chr1_45	19764710	20398622	5	13	18	4	5	6
Chr1_46	20135078	20538108	4	9	13	4	5	6
Chr1_47	20481963	20920151	11	21	32	5	6	6
Chr1_48	20789190	21333689	13	26	39	6	6	6
Chr1_49	21092504	21413768	14	20	34	6	6	6
Chr1_50	21337405	22201447	14	15	29	6	5	6
Chr1_51	21510084	23467167	15	8	23	6	4	6
Chr1_52	22376869	23771998	22	20	42	6	5	6
Chr1_53	23532148	23838579	16	25	41	5	6	6
Chr1_54	23805670	23960974	13	17	30	5	6	6
Chr1_55	23865144	24188325	14	18	32	6	6	6
Chr1_56	23982881	25393273	13	12	25	6	4	6
Chr1_57	24879021	25756681	15	13	28	5	4	6
Chr1_58	25408591	26351282	15	14	29	5	6	6
Chr1_59	25969512	26996982	12	8	20	6	6	6
Chr1_60	26412354	27302346	16	13	29	6	6	6
Chr1_61	27020144	27524931	25	21	46	6	6	6
Chr1_62	27330195	27931677	24	24	48	6	6	6
Chr1_63	27613045	28054800	25	27	52	6	6	6
Chr1_64	27936625	28259383	21	27	48	6	6	6
Chr1_65	28095886	28911362	14	21	35	6	6	6
Chr1_66	28800366	29061063	17	16	33	6	6	6
Chr1_67	28940568	29385770	15	12	27	6	6	6
Chr1_68	29272174	29694162	14	13	27	5	6	6
Chr1_69	29544774	30143351	18	15	33	5	6	6
Chr1_70	29968812	30143351	10	7	17	3	3	3
Chr2_1	103278	279510	7	14	21	2	3	3
Chr2_2	351245	789064	11	4	15	3	3	3
Chr2_3	1284745	2223902	16	16	32	4	5	6
Chr2_4	2036649	2604215	13	19	32	5	6	6
Chr2_5	2232251	3647609	16	16	32	6	6	6
Chr2_6	3153568	4150394	16	14	30	6	6	6
Chr2_7	3724604	4734215	25	15	40	6	6	6
Chr2_8	4321542	5316042	36	15	51	5	6	6
Chr2_9	4936550	5387072	34	18	52	5	6	6
Chr2_10	5334753	5623628	20	17	37	6	6	6
Chr2_11	5404543	5885166	17	16	33	6	6	6
Chr2_12	5652916	7128425	18	14	32	6	6	6
Chr2_13	6590072	8076637	27	10	37	6	5	6
Chr2_14	7308817	8382328	34	5	39	6	2	6
Chr2_15	8294845	8698689	28	0	28	6	0	6
Chr2_16	8392992	8857389	32	0	32	6	0	6
Chr2_17	8805621	9379272	30	0	30	6	0	6
Chr2_18	9111114	9703237	24	0	24	6	0	6
Chr2_19	9506858	10458130	24	0	24	6	0	6
Chr2_20	9760545	10969938	29	0	29	6	0	6
Chr2_21	10545468	11163585	31	0	31	6	0	6
Chr2_22	11034201	11430413	38	0	38	6	0	6
Chr2_23	11211623	11576476	48	0	48	6	0	6
Chr2_24	11435198	12068380	47	0	47	6	0	6
Chr2_25	11831036	12341713	41	0	41	6	0	6
Chr2_26	12324982	12560712	23	0	23	6	0	6
Chr2_27	12486243	12892336	20	0	20	6	0	6
Chr2_28	12733163	13419885	32	0	32	6	0	6
Chr2_29	12914794	14767358	36	0	36	6	0	6
Chr2_30	13513481	15064626	37	0	37	6	0	6
Chr2_31	14949699	16076499	33	0	33	6	0	6
Chr2_32	15823236	17080225	30	0	30	6	0	6
Chr2_33	16430072	17309433	32	0	32	6	0	6
Chr2_34	17108813	18466737	46	0	46	6	0	6
Chr2_35	17434848	18995024	50	0	50	6	0	6
Chr2_36	18778049	18995024	20	0	20	3	0	3
Chr2_37	19654239	19654239	4	0	4	1	0	1
Chr3_1	342917	707088	9	0	9	3	0	3
Chr3_2	712969	757505	12	0	12	3	0	3
Chr3_3	1029809	1594452	32	0	32	6	0	6
Chr3_4	1381923	2097197	44	0	44	6	0	6
Chr3_5	1845970	2317258	48	0	48	6	0	6
Chr3_6	2180118	3514193	37	0	37	6	0	6
Chr3_7	2705185	3628749	35	0	35	6	0	6
Chr3_8	3519002	4179869	22	0	22	6	0	6
Chr3_9	3702735	4948240	30	0	30	6	0	6
Chr3_10	4825657	5376654	34	0	34	6	0	6
Chr3_11	5077691	5482229	25	0	25	6	0	6
Chr3_12	5388573	5853605	31	0	31	6	0	6
Chr3_13	5589673	5986335	29	0	29	6	0	6
Chr3_14	5909262	6452009	35	0	35	6	0	6
Chr3_15	5996514	6755096	33	0	33	6	0	6
Chr3_16	6512422	6862824	24	0	24	6	0	6
Chr3_17	6756578	7011240	29	0	29	6	0	6
Chr3_18	6879359	7236458	39	0	39	6	0	6
Chr3_19	7123271	7633410	39	0	39	6	0	6
Chr3_20	7239000	8033123	35	0	35	6	0	6
Chr3_21	7778781	8354676	37	0	37	6	0	6
Chr3_22	8210112	9072645	33	0	33	6	0	6
Chr3_23	8782547	9191641	32	0	32	6	0	6
Chr3_24	9144619	9287221	39	0	39	6	0	6
Chr3_25	9210057	9796537	37	0	37	6	0	6
Chr3_26	9355847	10596666	38	0	38	6	0	6
Chr3_27	9921946	12736734	27	0	27	6	0	6
Chr3_28	11065171	13692909	11	0	11	6	0	6
Chr3_29	13064226	14237365	16	0	16	6	0	6
Chr3_30	13693246	14694148	23	0	23	6	0	6
Chr3_31	14350450	16319342	26	0	26	6	0	6
Chr3_32	14863295	17283792	19	7	26	6	2	6
Chr3_33	17198514	17450150	19	16	35	6	5	6
Chr3_34	17360725	17774419	18	12	30	6	5	6
Chr3_35	17506131	17946707	15	8	23	6	5	6
Chr3_36	17842974	18401817	22	13	35	6	5	6
Chr3_37	17984416	18566528	26	16	42	6	4	6
Chr3_38	18497869	18797997	27	20	47	5	5	6
Chr3_39	18672194	19106123	25	24	49	4	6	6
Chr3_40	18978128	19606573	25	18	43	5	6	6
Chr3_41	19199991	20627972	22	14	36	6	5	6
Chr3_42	20185121	20870820	14	24	38	5	5	6
Chr3_43	20667999	21289951	14	25	39	5	6	6
Chr3_44	21090564	21417659	17	15	32	6	6	6
Chr3_45	21343950	21693992	20	12	32	6	6	6
Chr3_46	21425206	22052994	21	17	38	6	5	6
Chr3_47	21742064	22198992	17	16	33	5	5	6
Chr3_48	22117707	22446767	17	10	27	5	5	6
Chr3_49	22292793	23007987	13	14	27	5	5	6
Chr3_50	22513483	23007987	3	9	12	2	3	3
Chr3_51	23074983	23451995	3	15	18	2	2	2
Chr4_1	108535	754623	24	0	24	3	0	3
Chr4_2	755432	1505911	22	0	22	3	0	3
Chr4_3	2490935	4357668	33	0	33	6	0	6
Chr4_4	4189160	4794287	28	0	28	6	0	6
Chr4_5	4427836	5112498	36	0	36	6	0	6
Chr4_6	4865860	6139987	38	0	38	6	0	6
Chr4_7	5593193	6480520	40	0	40	6	0	6
Chr4_8	6340217	6677617	38	0	38	6	0	6
Chr4_9	6563102	7760881	32	0	32	6	0	6
Chr4_10	7307915	8103206	40	0	40	6	0	6
Chr4_11	7866707	8368900	33	0	33	6	0	6
Chr4_12	8181864	8697332	25	0	25	6	0	6
Chr4_13	8476826	9121153	25	0	25	6	0	6
Chr4_14	8906051	9555945	26	0	26	6	0	6
Chr4_15	9308071	9923722	27	0	27	6	0	6
Chr4_16	9759883	10151788	31	0	31	6	0	6
Chr4_17	10028464	10611427	32	0	32	6	0	6
Chr4_18	10164235	10929683	35	0	35	6	0	6
Chr4_19	10699709	11390861	30	0	30	6	0	6
Chr4_20	10995810	11660199	27	0	27	6	0	6
Chr4_21	11551870	11865956	30	0	30	6	0	6
Chr4_22	11754197	12163540	23	0	23	6	0	6
Chr4_23	11897227	12568489	28	0	28	6	0	6
Chr4_24	12178606	13158756	33	0	33	6	0	6
Chr4_25	12943928	13636705	29	0	29	6	0	6
Chr4_26	13184593	14243183	19	0	19	6	0	6
Chr4_27	13739959	14833803	22	0	22	6	0	6
Chr4_28	14315609	15049166	29	0	29	6	0	6
Chr4_29	14907081	15312429	28	0	28	6	0	6
Chr4_30	15164081	16358049	26	0	26	6	0	6
Chr4_31	15486128	17106883	30	0	30	6	0	6
Chr4_32	16418955	17612523	35	0	35	6	0	6
Chr4_33	17203845	18032088	40	0	40	6	0	6
Chr4_34	17724206	18475425	33	0	33	6	0	6
Chr4_35	18353380	18475425	10	0	10	3	0	3
Chr4_36	18488278	18488278	14	0	14	1	0	1
Chr5_1	711634	884595	9	7	16	3	3	3
Chr5_2	1053341	2174214	11	8	19	3	3	3
Chr5_3	2265208	3412112	24	13	37	6	5	6
Chr5_4	3235872	3751051	16	10	26	5	5	6
Chr5_5	3507550	4168082	14	14	28	5	6	6
Chr5_6	3911711	4590791	16	27	43	6	6	6
Chr5_7	4547066	4663296	15	25	40	6	6	6
Chr5_8	4590795	5143873	13	15	28	6	6	6
Chr5_9	4732959	6143273	18	12	30	6	6	6
Chr5_10	5518672	7079120	18	14	32	5	6	6
Chr5_11	6831327	7889605	15	23	38	5	6	6
Chr5_12	7242028	8232480	9	20	29	5	6	6
Chr5_13	8063604	9326639	10	18	28	5	6	6
Chr5_14	8512972	9543207	17	24	41	6	6	6
Chr5_15	9337226	9842090	17	18	35	6	6	6
Chr5_16	9559932	10075669	11	13	24	6	5	6
Chr5_17	9983036	10930647	38	8	46	6	2	6
Chr5_18	10209214	11287290	54	0	54	6	0	6
Chr5_19	10931377	11405713	35	0	35	6	0	6
Chr5_20	11361449	11504027	24	0	24	6	0	6
Chr5_21	11433141	12966636	18	0	18	6	0	6
Chr5_22	12133415	13143017	43	0	43	6	0	6
Chr5_23	13040450	15415369	53	0	53	6	0	6
Chr5_24	14972752	16980547	32	12	44	6	2	6
Chr5_25	16182978	18693604	25	27	52	5	5	6
Chr5_26	17129034	20133763	15	24	39	4	6	6
Chr5_27	19050926	21058398	4	15	19	3	5	6
Chr5_28	20914321	22400309	10	16	26	4	5	6
Chr5_29	21815967	22769226	18	15	33	6	6	6
Chr5_30	22575728	24178178	20	12	32	6	6	6
Chr5_31	23014271	25280627	14	10	24	6	4	6
Chr5_32	24669245	25280627	4	3	7	3	1	3
Chr5_33	25600633	26036538	7	2	9	2	1	2
