chr_window	start	stop	nb_snps
Chr1_1	250461	957805	2
Chr1_2	1098586	1579976	2
Chr1_3	1741402	2017265	4
Chr1_4	1931254	2263245	4
Chr1_5	2039436	2382166	4
Chr1_6	2270886	3002752	4
Chr1_7	2425803	3822844	4
Chr1_8	3348474	4328503	4
Chr1_9	4050127	4471021	4
Chr1_10	4395326	4507768	4
Chr1_11	4492839	4796463	4
Chr1_12	4630658	4995058	4
Chr1_13	4976250	5200189	4
Chr1_14	5067846	5440071	4
Chr1_15	5284637	5844546	4
Chr1_16	5514964	6161053	4
Chr1_17	5856286	6698327	4
Chr1_18	6642781	6908459	4
Chr1_19	6772091	7137682	4
Chr1_20	7053463	7305335	4
Chr1_21	7209940	7522340	4
Chr1_22	7466591	8093651	4
Chr1_23	7670158	8246532	4
Chr1_24	8117621	8859730	4
Chr1_25	8603638	9465971	4
Chr1_26	9197599	9705263	4
Chr1_27	9643177	9916295	4
Chr1_28	9841070	9981938	4
Chr1_29	9929918	10484765	4
Chr1_30	10343240	10745320	4
Chr1_31	10614759	10837308	4
Chr1_32	10816879	11120485	4
Chr1_33	11016905	11282301	4
Chr1_34	11250138	11538912	4
Chr1_35	11375472	11858316	4
Chr1_36	11626449	11992647	4
Chr1_37	11911076	12122843	4
Chr1_38	12044376	12224569	4
Chr1_39	12132993	12316803	4
Chr1_40	12280904	12377719	4
Chr1_41	12343453	12665774	4
Chr1_42	12475537	12816388	4
Chr1_43	12704431	13112248	4
Chr1_44	12990349	13311753	4
Chr1_45	13278836	13546625	4
Chr1_46	13332402	14053928	4
Chr1_47	13993655	14155913	4
Chr1_48	14129213	14506026	4
Chr1_49	14299950	15623101	4
Chr1_50	15500488	15740510	4
Chr1_51	15633024	15858286	4
Chr1_52	15758256	16090970	4
Chr1_53	16026160	16097351	4
Chr1_54	16091522	16390983	4
Chr1_55	16210979	16501635	4
Chr1_56	16468551	16632544	4
Chr1_57	16625677	17268276	4
Chr1_58	16934677	17429863	4
Chr1_59	17296501	17494580	4
Chr1_60	17494300	17961085	4
Chr1_61	17611670	17991187	4
Chr1_62	17985253	18411725	4
Chr1_63	18147770	18713341	4
Chr1_64	18678696	19457685	4
Chr1_65	18770881	19517104	4
Chr1_66	19468072	19912380	4
Chr1_67	19764710	20135078	4
Chr1_68	20064072	20398622	4
Chr1_69	20138182	20514558	4
Chr1_70	20481963	20789190	4
Chr1_71	20538108	20920151	4
Chr1_72	20885209	21251079	4
Chr1_73	21092504	21337405	4
Chr1_74	21333689	21413768	4
Chr1_75	21352001	21619010	4
Chr1_76	21510084	22376869	4
Chr1_77	22201447	23467167	4
Chr1_78	23410605	23750755	4
Chr1_79	23532148	23805670	4
Chr1_80	23771998	23838579	4
Chr1_81	23811796	23884549	4
Chr1_82	23865144	23982881	4
Chr1_83	23960974	24188325	4
Chr1_84	23986687	25253293	4
Chr1_85	24879021	25408591	4
Chr1_86	25393273	25756681	4
Chr1_87	25462558	26283261	4
Chr1_88	25969512	26412354	4
Chr1_89	26351282	26996982	4
Chr1_90	26551068	27218094	4
Chr1_91	27020144	27330195	4
Chr1_92	27302346	27524931	4
Chr1_93	27350913	27736703	4
Chr1_94	27613045	27936625	4
Chr1_95	27931677	28054800	4
Chr1_96	27977489	28125557	4
Chr1_97	28095886	28800366	4
Chr1_98	28259383	28911362	4
Chr1_99	28904535	28950682	4
Chr1_100	28940568	29272174	4
Chr1_101	29061063	29385770	4
Chr1_102	29348331	29628250	4
Chr1_103	29544774	29968812	4
Chr1_104	29694162	30143351	4
Chr1_105	30139285	30143351	2
Chr2_1	103278	231256	2
Chr2_2	279510	351245	2
Chr2_3	365840	1375689	4
Chr2_4	1284745	2036649	4
Chr2_5	1393739	2223902	4
Chr2_6	2194774	2367279	4
Chr2_7	2232251	3153568	4
Chr2_8	2604215	3647609	4
Chr2_9	3186729	3878725	4
Chr2_10	3724604	4321542	4
Chr2_11	4150394	4734215	4
Chr2_12	4580345	5098233	4
Chr2_13	4936550	5334753	4
Chr2_14	5316042	5387072	4
Chr2_15	5377643	5559153	4
Chr2_16	5404543	5652916	4
Chr2_17	5623628	5885166	4
Chr2_18	5708847	7046762	4
Chr2_19	6590072	7308817	4
Chr2_20	7128425	8076637	4
Chr2_21	7755558	8333628	4
Chr2_22	8294845	8392992	4
Chr2_23	8382328	8698689	4
Chr2_24	8508488	8855573	4
Chr2_25	8805621	9111114	4
Chr2_26	8857389	9379272	4
Chr2_27	9174342	9599212	4
Chr2_28	9506858	9760545	4
Chr2_29	9703237	10458130	4
Chr2_30	10287660	10764947	4
Chr2_31	10545468	11034201	4
Chr2_32	10969938	11163585	4
Chr2_33	11106282	11301596	4
Chr2_34	11211623	11435198	4
Chr2_35	11430413	11576476	4
Chr2_36	11537933	11957241	4
Chr2_37	11831036	12324982	4
Chr2_38	12068380	12341713	4
Chr2_39	12331704	12493553	4
Chr2_40	12486243	12733163	4
Chr2_41	12560712	12892336	4
Chr2_42	12875830	13344370	4
Chr2_43	12914794	13513481	4
Chr2_44	13419885	14767358	4
Chr2_45	14069376	15043325	4
Chr2_46	14949699	15823236	4
Chr2_47	15064626	16076499	4
Chr2_48	15874469	16718432	4
Chr2_49	16430072	17108813	4
Chr2_50	17080225	17309433	4
Chr2_51	17149706	18215998	4
Chr2_52	17434848	18778049	4
Chr2_53	18466737	18995024	4
Chr2_54	18961121	18995024	2
Chr2_55	19654239	19654239	1
Chr3_1	342917	673382	2
Chr3_2	707088	712969	2
Chr3_3	752739	1085437	4
Chr3_4	1029809	1381923	4
Chr3_5	1295981	1594452	4
Chr3_6	1449743	2031826	4
Chr3_7	1845970	2180118	4
Chr3_8	2097197	2317258	4
Chr3_9	2228868	3113553	4
Chr3_10	2705185	3519002	4
Chr3_11	3514193	3628749	4
Chr3_12	3597934	4150625	4
Chr3_13	3702735	4825657	4
Chr3_14	4179869	4948240	4
Chr3_15	4927171	5145409	4
Chr3_16	5077691	5388573	4
Chr3_17	5376654	5482229	4
Chr3_18	5405156	5693645	4
Chr3_19	5589673	5909262	4
Chr3_20	5853605	5986335	4
Chr3_21	5935613	6034221	4
Chr3_22	5996514	6512422	4
Chr3_23	6452009	6755096	4
Chr3_24	6580440	6804894	4
Chr3_25	6756578	6879359	4
Chr3_26	6862824	7011240	4
Chr3_27	6963183	7204091	4
Chr3_28	7123271	7239000	4
Chr3_29	7236458	7633410	4
Chr3_30	7401523	7949512	4
Chr3_31	7778781	8210112	4
Chr3_32	8033123	8354676	4
Chr3_33	8257962	8888903	4
Chr3_34	8782547	9144619	4
Chr3_35	9072645	9191641	4
Chr3_36	9158442	9276024	4
Chr3_37	9210057	9355847	4
Chr3_38	9287221	9796537	4
Chr3_39	9624798	9977973	4
Chr3_40	9921946	11065171	4
Chr3_41	10596666	12736734	4
Chr3_42	11963250	13198336	4
Chr3_43	13064226	13693246	4
Chr3_44	13692909	14237365	4
Chr3_45	14112930	14371876	4
Chr3_46	14350450	14863295	4
Chr3_47	14694148	16319342	4
Chr3_48	15225581	17266048	4
Chr3_49	17198514	17360725	4
Chr3_50	17283792	17450150	4
Chr3_51	17388546	17666400	4
Chr3_52	17506131	17842974	4
Chr3_53	17774419	17946707	4
Chr3_54	17854636	18386126	4
Chr3_55	17984416	18497869	4
Chr3_56	18401817	18566528	4
Chr3_57	18532627	18777910	4
Chr3_58	18672194	18978128	4
Chr3_59	18797997	19106123	4
Chr3_60	19010356	19491076	4
Chr3_61	19199991	20185121	4
Chr3_62	19606573	20627972	4
Chr3_63	20322961	20752999	4
Chr3_64	20667999	21090564	4
Chr3_65	20870820	21289951	4
Chr3_66	21157049	21379746	4
Chr3_67	21343950	21425206	4
Chr3_68	21417659	21693992	4
Chr3_69	21691552	21813287	4
Chr3_70	21742064	22117707	4
Chr3_71	22052994	22198992	4
Chr3_72	22135772	22297900	4
Chr3_73	22292793	22513483	4
Chr3_74	22446767	23007987	4
Chr3_75	22931093	23451995	4
Chr3_76	23074983	23451995	2
Chr4_1	108535	220079	2
Chr4_2	754623	755432	2
Chr4_3	1155408	3392620	4
Chr4_4	2490935	4189160	4
Chr4_5	3518366	4357668	4
Chr4_6	4346625	4526693	4
Chr4_7	4427836	4865860	4
Chr4_8	4794287	5112498	4
Chr4_9	4979803	5799952	4
Chr4_10	5593193	6340217	4
Chr4_11	6139987	6480520	4
Chr4_12	6399322	6597305	4
Chr4_13	6563102	7307915	4
Chr4_14	6677617	7760881	4
Chr4_15	7531309	8027261	4
Chr4_16	7866707	8181864	4
Chr4_17	8103206	8368900	4
Chr4_18	8288588	8516646	4
Chr4_19	8476826	8906051	4
Chr4_20	8697332	9121153	4
Chr4_21	9002767	9480284	4
Chr4_22	9308071	9759883	4
Chr4_23	9555945	9923722	4
Chr4_24	9904023	10106590	4
Chr4_25	10028464	10164235	4
Chr4_26	10151788	10611427	4
Chr4_27	10265147	10928709	4
Chr4_28	10699709	10995810	4
Chr4_29	10929683	11390861	4
Chr4_30	11135121	11613127	4
Chr4_31	11551870	11754197	4
Chr4_32	11660199	11865956	4
Chr4_33	11825989	12038840	4
Chr4_34	11897227	12178606	4
Chr4_35	12163540	12568489	4
Chr4_36	12222943	12970994	4
Chr4_37	12943928	13184593	4
Chr4_38	13158756	13636705	4
Chr4_39	13264111	13945529	4
Chr4_40	13739959	14315609	4
Chr4_41	14243183	14833803	4
Chr4_42	14541766	14997933	4
Chr4_43	14907081	15164081	4
Chr4_44	15049166	15312429	4
Chr4_45	15238599	15889743	4
Chr4_46	15486128	16418955	4
Chr4_47	16358049	17106883	4
Chr4_48	16757272	17561313	4
Chr4_49	17203845	17724206	4
Chr4_50	17612523	18032088	4
Chr4_51	17934432	18385025	4
Chr4_52	18353380	18488278	4
Chr4_53	18475425	18488278	2
Chr5_1	711634	714349	2
Chr5_2	884595	1053341	2
Chr5_3	1769119	2304572	4
Chr5_4	2265208	3235872	4
Chr5_5	2731437	3412112	4
Chr5_6	3356013	3703742	4
Chr5_7	3507550	3911711	4
Chr5_8	3751051	4168082	4
Chr5_9	4140179	4589187	4
Chr5_10	4547066	4590795	4
Chr5_11	4590791	4663296	4
Chr5_12	4648659	4842814	4
Chr5_13	4732959	5518672	4
Chr5_14	5143873	6143273	4
Chr5_15	5841373	7043410	4
Chr5_16	6831327	7242028	4
Chr5_17	7079120	7889605	4
Chr5_18	7633794	8165390	4
Chr5_19	8063604	8512972	4
Chr5_20	8232480	9326639	4
Chr5_21	8695118	9538841	4
Chr5_22	9337226	9559932	4
Chr5_23	9543207	9842090	4
Chr5_24	9634346	10030253	4
Chr5_25	9983036	10209214	4
Chr5_26	10075669	10930647	4
Chr5_27	10524973	11096549	4
Chr5_28	10931377	11361449	4
Chr5_29	11287290	11405713	4
Chr5_30	11392742	11498866	4
Chr5_31	11433141	12133415	4
Chr5_32	11504027	12966636	4
