chr_window	start	stop	ADref	ADalt	DP
Chr1_1	250461	957805	10	13	23
Chr1_2	1098586	1579976	19	22	41
Chr1_3	1741402	2017265	29	28	57
Chr1_4	1931254	2263245	40	31	71
Chr1_5	2039436	2382166	45	37	82
Chr1_6	2270886	3002752	41	37	78
Chr1_7	2425803	3822844	34	31	65
Chr1_8	3348474	4328503	36	32	68
Chr1_9	4050127	4471021	41	40	81
Chr1_10	4395326	4507768	42	45	87
Chr1_11	4492839	4796463	34	43	77
Chr1_12	4630658	4995058	29	41	70
Chr1_13	4976250	5200189	32	40	72
Chr1_14	5067846	5440071	35	33	68
Chr1_15	5284637	5844546	32	24	56
Chr1_16	5514964	6161053	24	20	44
Chr1_17	5856286	6698327	20	25	45
Chr1_18	6642781	6908459	20	29	49
Chr1_19	6772091	7137682	23	31	54
Chr1_20	7053463	7305335	25	28	53
Chr1_21	7209940	7522340	27	27	54
Chr1_22	7466591	8093651	34	33	67
Chr1_23	7670158	8246532	40	36	76
Chr1_24	8117621	8859730	41	37	78
Chr1_25	8603638	9465971	35	38	73
Chr1_26	9197599	9705263	33	40	73
Chr1_27	9643177	9916295	36	38	74
Chr1_28	9841070	9981938	35	27	62
Chr1_29	9929918	10484765	34	19	53
Chr1_30	10343240	10745320	40	19	59
Chr1_31	10614759	10837308	45	22	67
Chr1_32	10816879	11120485	42	27	69
Chr1_33	11016905	11282301	34	34	68
Chr1_34	11250138	11538912	28	41	69
Chr1_35	11375472	11858316	27	45	72
Chr1_36	11626449	11992647	26	48	74
Chr1_37	11911076	12122843	29	51	80
Chr1_38	12044376	12224569	39	51	90
Chr1_39	12132993	12316803	45	47	92
Chr1_40	12280904	12377719	46	37	83
Chr1_41	12343453	12665774	41	26	67
Chr1_42	12475537	12816388	40	24	64
Chr1_43	12704431	13112248	39	30	69
Chr1_44	12990349	13311753	34	36	70
Chr1_45	13278836	13546625	35	33	68
Chr1_46	13332402	14053928	40	25	65
Chr1_47	13993655	14155913	41	20	61
Chr1_48	14129213	14506026	32	14	46
Chr1_49	14299950	15623101	25	9	34
Chr1_50	15500488	15740510	29	14	43
Chr1_51	15633024	15858286	37	28	65
Chr1_52	15758256	16090970	46	37	83
Chr1_53	16026160	16097351	55	35	90
Chr1_54	16091522	16390983	54	29	83
Chr1_55	16210979	16501635	44	28	72
Chr1_56	16468551	16632544	35	28	63
Chr1_57	16625677	17268276	34	25	59
Chr1_58	16934677	17429863	37	23	60
Chr1_59	17296501	17494580	31	22	53
Chr1_60	17494300	17961085	24	21	45
Chr1_61	17611670	17991187	20	19	39
Chr1_62	17985253	18411725	19	21	40
Chr1_63	18147770	18713341	21	30	51
Chr1_64	18678696	19457685	24	43	67
Chr1_65	18770881	19517104	25	52	77
Chr1_66	19468072	19912380	21	48	69
Chr1_67	19764710	20135078	15	34	49
Chr1_68	20064072	20398622	10	21	31
Chr1_69	20138182	20514558	11	19	30
Chr1_70	20481963	20789190	17	32	49
Chr1_71	20538108	20920151	24	46	70
Chr1_72	20885209	21251079	25	50	75
Chr1_73	21092504	21337405	26	45	71
Chr1_74	21333689	21413768	28	38	66
Chr1_75	21352001	21619010	27	31	58
Chr1_76	21510084	22376869	28	21	49
Chr1_77	22201447	23467167	36	24	60
Chr1_78	23410605	23750755	42	38	80
Chr1_79	23532148	23805670	37	47	84
Chr1_80	23771998	23838579	28	44	72
Chr1_81	23811796	23884549	28	35	63
Chr1_82	23865144	23982881	30	34	64
Chr1_83	23960974	24188325	26	29	55
Chr1_84	23986687	25253293	22	24	46
Chr1_85	24879021	25408591	25	26	51
Chr1_86	25393273	25756681	32	28	60
Chr1_87	25462558	26283261	34	27	61
Chr1_88	25969512	26412354	29	20	49
Chr1_89	26351282	26996982	23	18	41
Chr1_90	26551068	27218094	31	26	57
Chr1_91	27020144	27330195	45	37	82
Chr1_92	27302346	27524931	53	49	102
Chr1_93	27350913	27736703	52	53	105
Chr1_94	27613045	27936625	49	52	101
Chr1_95	27931677	28054800	47	53	100
Chr1_96	27977489	28125557	39	52	91
Chr1_97	28095886	28800366	31	47	78
Chr1_98	28259383	28911362	30	35	65
Chr1_99	28904535	28950682	33	27	60
Chr1_100	28940568	29272174	32	25	57
Chr1_101	29061063	29385770	29	27	56
Chr1_102	29348331	29628250	28	29	57
Chr1_103	29544774	29968812	32	29	61
Chr1_104	29694162	30143351	31	24	55
Chr1_105	30139285	30143351	21	14	35
Chr2_1	103278	231256	11	15	26
Chr2_2	279510	351245	20	20	40
Chr2_3	365840	1375689	29	23	52
Chr2_4	1284745	2036649	36	29	65
Chr2_5	1393739	2223902	34	37	71
Chr2_6	2194774	2367279	33	40	73
Chr2_7	2232251	3153568	31	35	66
Chr2_8	2604215	3647609	33	32	65
Chr2_9	3186729	3878725	35	30	65
Chr2_10	3724604	4321542	43	29	72
Chr2_11	4150394	4734215	62	30	92
Chr2_12	4580345	5098233	76	30	106
Chr2_13	4936550	5334753	73	33	106
Chr2_14	5316042	5387072	55	33	88
Chr2_15	5377643	5559153	39	31	70
Chr2_16	5404543	5652916	35	32	67
Chr2_17	5623628	5885166	33	31	64
Chr2_18	5708847	7046762	34	28	62
Chr2_19	6590072	7308817	45	23	68
Chr2_20	7128425	8076637	66	17	83
Chr2_21	7755558	8333628	68	11	79
Chr2_22	8294845	8392992	57	4	61
Chr2_23	8382328	8698689	50	0	50
Chr2_24	8508488	8855573	60	0	60
Chr2_25	8805621	9111114	68	0	68
Chr2_26	8857389	9379272	58	0	58
Chr2_27	9174342	9599212	49	0	49
Chr2_28	9506858	9760545	45	0	45
Chr2_29	9703237	10458130	56	0	56
Chr2_30	10287660	10764947	60	0	60
Chr2_31	10545468	11034201	59	0	59
Chr2_32	10969938	11163585	59	0	59
Chr2_33	11106282	11301596	73	0	73
Chr2_34	11211623	11435198	93	0	93
Chr2_35	11430413	11576476	103	0	103
Chr2_36	11537933	11957241	98	0	98
Chr2_37	11831036	12324982	84	0	84
Chr2_38	12068380	12341713	67	0	67
Chr2_39	12331704	12493553	51	0	51
Chr2_40	12486243	12733163	45	0	45
Chr2_41	12560712	12892336	50	0	50
Chr2_42	12875830	13344370	62	0	62
Chr2_43	12914794	13513481	68	0	68
Chr2_44	13419885	14767358	69	0	69
Chr2_45	14069376	15043325	73	0	73
Chr2_46	14949699	15823236	73	0	73
Chr2_47	15064626	16076499	64	0	64
Chr2_48	15874469	16718432	58	0	58
Chr2_49	16430072	17108813	59	0	59
Chr2_50	17080225	17309433	75	0	75
Chr2_51	17149706	18215998	90	0	90
Chr2_52	17434848	18778049	97	0	97
Chr2_53	18466737	18995024	80	0	80
Chr2_54	18961121	18995024	46	0	46
Chr2_55	19654239	19654239	16	0	16
Chr3_1	342917	673382	12	0	12
Chr3_2	707088	712969	33	0	33
Chr3_3	752739	1085437	52	0	52
Chr3_4	1029809	1381923	66	0	66
Chr3_5	1295981	1594452	75	0	75
Chr3_6	1449743	2031826	85	0	85
Chr3_7	1845970	2180118	90	0	90
Chr3_8	2097197	2317258	82	0	82
Chr3_9	2228868	3113553	72	0	72
Chr3_10	2705185	3519002	73	0	73
Chr3_11	3514193	3628749	65	0	65
Chr3_12	3597934	4150625	49	0	49
Chr3_13	3702735	4825657	49	0	49
Chr3_14	4179869	4948240	63	0	63
Chr3_15	4927171	5145409	70	0	70
Chr3_16	5077691	5388573	62	0	62
Chr3_17	5376654	5482229	51	0	51
Chr3_18	5405156	5693645	57	0	57
Chr3_19	5589673	5909262	60	0	60
Chr3_20	5853605	5986335	68	0	68
Chr3_21	5935613	6034221	74	0	74
Chr3_22	5996514	6512422	68	0	68
Chr3_23	6452009	6755096	58	0	58
Chr3_24	6580440	6804894	50	0	50
Chr3_25	6756578	6879359	54	0	54
Chr3_26	6862824	7011240	61	0	61
Chr3_27	6963183	7204091	68	0	68
Chr3_28	7123271	7239000	75	0	75
Chr3_29	7236458	7633410	75	0	75
Chr3_30	7401523	7949512	74	0	74
Chr3_31	7778781	8210112	75	0	75
Chr3_32	8033123	8354676	75	0	75
Chr3_33	8257962	8888903	71	0	71
Chr3_34	8782547	9144619	65	0	65
Chr3_35	9072645	9191641	70	0	70
Chr3_36	9158442	9276024	74	0	74
Chr3_37	9210057	9355847	73	0	73
Chr3_38	9287221	9796537	75	0	75
Chr3_39	9624798	9977973	75	0	75
Chr3_40	9921946	11065171	64	0	64
Chr3_41	10596666	12736734	43	0	43
Chr3_42	11963250	13198336	24	0	24
Chr3_43	13064226	13693246	24	0	24
Chr3_44	13692909	14237365	32	0	32
Chr3_45	14112930	14371876	47	0	47
Chr3_46	14350450	14863295	57	0	57
Chr3_47	14694148	16319342	48	3	51
Chr3_48	15225581	17266048	35	13	48
Chr3_49	17198514	17360725	32	26	58
Chr3_50	17283792	17450150	38	30	68
Chr3_51	17388546	17666400	39	25	64
Chr3_52	17506131	17842974	35	19	54
Chr3_53	17774419	17946707	37	19	56
Chr3_54	17854636	18386126	45	22	67
Chr3_55	17984416	18497869	49	27	76
Chr3_56	18401817	18566528	50	36	86
Chr3_57	18532627	18777910	54	46	100
Chr3_58	18672194	18978128	55	50	105
Chr3_59	18797997	19106123	51	44	95
Chr3_60	19010356	19491076	44	36	80
Chr3_61	19199991	20185121	40	30	70
Chr3_62	19606573	20627972	41	34	75
Chr3_63	20322961	20752999	36	44	80
Chr3_64	20667999	21090564	31	49	80
Chr3_65	20870820	21289951	30	43	73
Chr3_66	21157049	21379746	32	33	65
Chr3_67	21343950	21425206	36	27	63
Chr3_68	21417659	21693992	40	27	67
Chr3_69	21691552	21813287	42	29	71
Chr3_70	21742064	22117707	39	30	69
Chr3_71	22052994	22198992	34	31	65
Chr3_72	22135772	22297900	31	28	59
Chr3_73	22292793	22513483	27	27	54
Chr3_74	22446767	23007987	21	38	59
Chr3_75	22931093	23451995	13	44	57
Chr3_76	23074983	23451995	8	35	43
Chr4_1	108535	220079	31	0	31
Chr4_2	754623	755432	60	0	60
Chr4_3	1155408	3392620	65	0	65
Chr4_4	2490935	4189160	73	0	73
Chr4_5	3518366	4357668	63	0	63
Chr4_6	4346625	4526693	56	0	56
Chr4_7	4427836	4865860	62	0	62
Chr4_8	4794287	5112498	68	0	68
Chr4_9	4979803	5799952	67	0	67
Chr4_10	5593193	6340217	75	0	75
Chr4_11	6139987	6480520	83	0	83
Chr4_12	6399322	6597305	85	0	85
Chr4_13	6563102	7307915	74	0	74
Chr4_14	6677617	7760881	67	0	67
Chr4_15	7531309	8027261	75	0	75
Chr4_16	7866707	8181864	73	0	73
Chr4_17	8103206	8368900	61	0	61
Chr4_18	8288588	8516646	51	0	51
Chr4_19	8476826	8906051	48	0	48
Chr4_20	8697332	9121153	54	0	54
Chr4_21	9002767	9480284	59	0	59
Chr4_22	9308071	9759883	57	0	57
Chr4_23	9555945	9923722	55	0	55
Chr4_24	9904023	10106590	56	0	56
Chr4_25	10028464	10164235	60	0	60
Chr4_26	10151788	10611427	64	0	64
Chr4_27	10265147	10928709	68	0	68
Chr4_28	10699709	10995810	66	0	66
Chr4_29	10929683	11390861	63	0	63
Chr4_30	11135121	11613127	58	0	58
Chr4_31	11551870	11754197	55	0	55
Chr4_32	11660199	11865956	52	0	52
Chr4_33	11825989	12038840	50	0	50
Chr4_34	11897227	12178606	56	0	56
Chr4_35	12163540	12568489	56	0	56
Chr4_36	12222943	12970994	59	0	59
Chr4_37	12943928	13184593	60	0	60
Chr4_38	13158756	13636705	51	0	51
Chr4_39	13264111	13945529	36	0	36
Chr4_40	13739959	14315609	36	0	36
Chr4_41	14243183	14833803	50	0	50
Chr4_42	14541766	14997933	60	0	60
Chr4_43	14907081	15164081	60	0	60
Chr4_44	15049166	15312429	57	0	57
Chr4_45	15238599	15889743	58	0	58
Chr4_46	15486128	16418955	59	0	59
Chr4_47	16358049	17106883	62	0	62
Chr4_48	16757272	17561313	63	0	63
Chr4_49	17203845	17724206	71	0	71
Chr4_50	17612523	18032088	76	0	76
Chr4_51	17934432	18385025	80	0	80
Chr4_52	18353380	18488278	68	0	68
Chr4_53	18475425	18488278	42	0	42
Chr5_1	711634	714349	13	9	22
Chr5_2	884595	1053341	28	21	49
Chr5_3	1769119	2304572	40	24	64
Chr5_4	2265208	3235872	50	28	78
Chr5_5	2731437	3412112	46	23	69
Chr5_6	3356013	3703742	36	23	59
Chr5_7	3507550	3911711	28	27	55
Chr5_8	3751051	4168082	30	38	68
Chr5_9	4140179	4589187	33	51	84
Chr5_10	4547066	4590795	32	52	84
Chr5_11	4590791	4663296	28	43	71
Chr5_12	4648659	4842814	30	31	61
Chr5_13	4732959	5518672	35	25	60
Chr5_14	5143873	6143273	34	26	60
Chr5_15	5841373	7043410	30	29	59
Chr5_16	6831327	7242028	29	38	67
Chr5_17	7079120	7889605	27	42	69
Chr5_18	7633794	8165390	22	38	60
Chr5_19	8063604	8512972	20	37	57
Chr5_20	8232480	9326639	27	44	71
