chr_window	start	stop	ADref	ADalt	DP
Chr1_1	1	10000	172	0	172
Chr1_2	5001	15000	0.0	0.0	0.0
Chr1_3	10001	20000	0.0	0.0	0.0
Chr1_4	15001	25000	0.0	0.0	0.0
Chr1_5	20001	30000	0.0	0.0	0.0
Chr1_6	25001	35000	0.0	0.0	0.0
Chr1_7	30001	40000	0.0	0.0	0.0
Chr1_8	35001	45000	0.0	0.0	0.0
Chr1_9	40001	50000	0.0	0.0	0.0
Chr1_10	45001	55000	0.0	0.0	0.0
Chr1_11	50001	60000	0.0	0.0	0.0
Chr1_12	55001	65000	143	0	143
Chr1_13	60001	70000	235	1	236
Chr1_14	65001	75000	283	1	284
Chr1_15	70001	80000	276	0	276
Chr1_16	75001	85000	241	0	241
Chr1_17	80001	90000	216	5	221
Chr1_18	85001	95000	185	5	190
Chr1_19	90001	100000	115	0	115
Chr1_20	95001	105000	114	0	114
Chr1_21	100001	110000	0.0	0.0	0.0
Chr1_22	105001	115000	0.0	0.0	0.0
Chr1_23	110001	120000	0.0	0.0	0.0
Chr1_24	115001	125000	0.0	0.0	0.0
Chr1_25	120001	130000	0.0	0.0	0.0
Chr1_26	125001	135000	0.0	0.0	0.0
Chr1_27	130001	140000	0.0	0.0	0.0
Chr1_28	135001	145000	0.0	0.0	0.0
Chr1_29	140001	150000	0.0	0.0	0.0
Chr1_30	145001	155000	0.0	0.0	0.0
Chr1_31	150001	160000	0.0	0.0	0.0
Chr1_32	155001	165000	0.0	0.0	0.0
Chr1_33	160001	170000	0.0	0.0	0.0
Chr1_34	165001	175000	0.0	0.0	0.0
Chr1_35	170001	180000	0.0	0.0	0.0
Chr1_36	175001	185000	0.0	0.0	0.0
Chr1_37	180001	190000	0.0	0.0	0.0
Chr1_38	185001	195000	0.0	0.0	0.0
Chr1_39	190001	200000	0.0	0.0	0.0
Chr1_40	195001	205000	0.0	0.0	0.0
Chr1_41	200001	210000	0.0	0.0	0.0
Chr1_42	205001	215000	0.0	0.0	0.0
Chr1_43	210001	220000	0.0	0.0	0.0
Chr1_44	215001	225000	0.0	0.0	0.0
Chr1_45	220001	230000	0.0	0.0	0.0
Chr1_46	225001	235000	201	1	202
Chr1_47	230001	240000	189	1	190
Chr1_48	235001	245000	51	0	51
Chr1_49	240001	250000	0.0	0.0	0.0
Chr1_50	245001	255000	0.0	0.0	0.0
Chr1_51	250001	260000	0.0	0.0	0.0
Chr1_52	255001	265000	121	0	121
Chr1_53	260001	270000	131	0	131
Chr1_54	265001	275000	101	1	102
Chr1_55	270001	280000	122	1	123
Chr1_56	275001	285000	120	0	120
Chr1_57	280001	290000	0.0	0.0	0.0
Chr1_58	285001	295000	210	0	210
Chr1_59	290001	300000	200	0	200
Chr1_60	295001	305000	106	0	106
Chr1_61	300001	310000	161	0	161
Chr1_62	305001	315000	142	0	142
Chr1_63	310001	320000	146	0	146
Chr1_64	315001	325000	166	0	166
Chr1_65	320001	330000	136	0	136
Chr1_66	325001	335000	103	0	103
Chr1_67	330001	340000	0.0	0.0	0.0
Chr1_68	335001	345000	174	0	174
Chr1_69	340001	350000	229	0	229
Chr1_70	345001	355000	379	0	379
Chr1_71	350001	360000	304	0	304
Chr1_72	355001	365000	85	0	85
Chr1_73	360001	370000	179	0	179
Chr1_74	365001	375000	246	0	246
Chr1_75	370001	380000	267	0	267
Chr1_76	375001	385000	268	0	268
Chr1_77	380001	390000	324	0	324
Chr1_78	385001	395000	253	0	253
Chr1_79	390001	400000	147	0	147
Chr1_80	395001	405000	188	0	188
Chr1_81	400001	410000	178	0	178
Chr1_82	405001	415000	188	0	188
Chr1_83	410001	420000	303	0	303
Chr1_84	415001	425000	494	0	494
Chr1_85	420001	430000	510	0	510
Chr1_86	425001	435000	241	0	241
Chr1_87	430001	440000	182	1	183
Chr1_88	435001	445000	351	1	352
Chr1_89	440001	450000	310	0	310
Chr1_90	445001	455000	235	0	235
Chr1_91	450001	460000	314	1	315
Chr1_92	455001	465000	338	1	339
Chr1_93	460001	470000	267	0	267
Chr1_94	465001	475000	163	0	163
Chr1_95	470001	480000	366	1	367
Chr1_96	475001	485000	379	2	381
Chr1_97	480001	490000	230	1	231
Chr1_98	485001	495000	318	0	318
Chr1_99	490001	500000	208	0	208
Chr1_100	495001	505000	158	1	159
Chr1_101	500001	510000	231	1	232
Chr1_102	505001	515000	184	0	184
Chr1_103	510001	520000	173	0	173
Chr1_104	515001	525000	291	1	292
Chr1_105	520001	530000	280	1	281
Chr1_106	525001	535000	288	1	289
Chr1_107	530001	540000	260	1	261
Chr1_108	535001	545000	128	0	128
Chr1_109	540001	550000	127	0	127
Chr1_110	545001	555000	153	0	153
Chr1_111	550001	560000	130	0	130
Chr1_112	555001	565000	94	0	94
Chr1_113	560001	570000	141	0	141
Chr1_114	565001	575000	190	0	190
Chr1_115	570001	580000	132	0	132
Chr1_116	575001	585000	196	0	196
Chr1_117	580001	590000	220	0	220
Chr1_118	585001	595000	137	0	137
Chr1_119	590001	600000	197	0	197
Chr1_120	595001	605000	189	0	189
Chr1_121	600001	610000	452	0	452
Chr1_122	605001	615000	474	0	474
Chr1_123	610001	620000	152	0	152
Chr1_124	615001	625000	163	0	163
Chr1_125	620001	630000	338	0	338
Chr1_126	625001	635000	331	0	331
Chr1_127	630001	640000	130	0	130
Chr1_128	635001	645000	91	0	91
Chr1_129	640001	650000	0.0	0.0	0.0
Chr1_130	645001	655000	0.0	0.0	0.0
Chr1_131	650001	660000	0.0	0.0	0.0
Chr1_132	655001	665000	98	0	98
Chr1_133	660001	670000	0.0	0.0	0.0
Chr1_134	665001	675000	0.0	0.0	0.0
Chr1_135	670001	680000	99	0	99
Chr1_136	675001	685000	0.0	0.0	0.0
Chr1_137	680001	690000	0.0	0.0	0.0
Chr1_138	685001	695000	104	0	104
Chr1_139	690001	700000	122	0	122
Chr1_140	695001	705000	158	0	158
Chr1_141	700001	710000	133	0	133
Chr1_142	705001	715000	74	0	74
Chr1_143	710001	720000	0.0	0.0	0.0
Chr1_144	715001	725000	0.0	0.0	0.0
Chr1_145	720001	730000	0.0	0.0	0.0
Chr1_146	725001	735000	0.0	0.0	0.0
Chr1_147	730001	740000	90	0	90
Chr1_148	735001	745000	106	0	106
Chr1_149	740001	750000	162	1	163
Chr1_150	745001	755000	144	1	145
Chr1_151	750001	760000	87	0	87
Chr1_152	755001	765000	159	4	163
Chr1_153	760001	770000	231	4	235
Chr1_154	765001	775000	225	0	225
Chr1_155	770001	780000	151	1	152
Chr1_156	775001	785000	85	1	86
Chr1_157	780001	790000	165	0	165
Chr1_158	785001	795000	253	0	253
Chr1_159	790001	800000	137	0	137
Chr1_160	795001	805000	0.0	0.0	0.0
Chr1_161	800001	810000	0.0	0.0	0.0
Chr1_162	805001	815000	89	0	89
Chr1_163	810001	820000	76	0	76
Chr1_164	815001	825000	0.0	0.0	0.0
Chr1_165	820001	830000	0.0	0.0	0.0
Chr1_166	825001	835000	0.0	0.0	0.0
Chr1_167	830001	840000	0.0	0.0	0.0
Chr1_168	835001	845000	0.0	0.0	0.0
Chr1_169	840001	850000	0.0	0.0	0.0
Chr1_170	845001	855000	117	0	117
Chr1_171	850001	860000	132	1	133
Chr1_172	855001	865000	444	2	446
Chr1_173	860001	870000	416	1	417
Chr1_174	865001	875000	114	0	114
Chr1_175	870001	880000	195	0	195
Chr1_176	875001	885000	162	0	162
Chr1_177	880001	890000	73	0	73
Chr1_178	885001	895000	0.0	0.0	0.0
Chr1_179	890001	900000	141	1	142
Chr1_180	895001	905000	189	0	189
Chr1_181	900001	910000	112	0	112
Chr1_182	905001	915000	183	15	198
Chr1_183	910001	920000	511	15	526
Chr1_184	915001	925000	442	0	442
Chr1_185	920001	930000	102	0	102
Chr1_186	925001	935000	98	1	99
Chr1_187	930001	940000	119	1	120
Chr1_188	935001	945000	0.0	0.0	0.0
Chr1_189	940001	950000	0.0	0.0	0.0
Chr1_190	945001	955000	0.0	0.0	0.0
