chr_window	start_window	stop_window	start_smooth	stop_smooth	window_smoothed
Chr1_1	250461	957805	1	2	1:2
Chr1_2	1098586	1579976	1	3	1:2:3
Chr1_3	1741402	2017265	2	4	2:3:4
Chr1_4	1931254	2263245	3	5	3:4:5
Chr1_5	2039436	2382166	4	6	4:5:6
Chr1_6	2270886	3002752	5	7	5:6:7
Chr1_7	2425803	3822844	6	8	6:7:8
Chr1_8	3348474	4328503	7	9	7:8:9
Chr1_9	4050127	4471021	8	10	8:9:10
Chr1_10	4395326	4507768	9	11	9:10:11
Chr1_11	4492839	4796463	10	12	10:11:12
Chr1_12	4630658	4995058	11	13	11:12:13
Chr1_13	4976250	5200189	12	14	12:13:14
Chr1_14	5067846	5440071	13	15	13:14:15
Chr1_15	5284637	5844546	14	16	14:15:16
Chr1_16	5514964	6161053	15	17	15:16:17
Chr1_17	5856286	6698327	16	18	16:17:18
Chr1_18	6642781	6908459	17	19	17:18:19
Chr1_19	6772091	7137682	18	20	18:19:20
Chr1_20	7053463	7305335	19	21	19:20:21
Chr1_21	7209940	7522340	20	22	20:21:22
Chr1_22	7466591	8093651	21	23	21:22:23
Chr1_23	7670158	8246532	22	24	22:23:24
Chr1_24	8117621	8859730	23	25	23:24:25
Chr1_25	8603638	9465971	24	26	24:25:26
Chr1_26	9197599	9705263	25	27	25:26:27
Chr1_27	9643177	9916295	26	28	26:27:28
Chr1_28	9841070	9981938	27	29	27:28:29
Chr1_29	9929918	10484765	28	30	28:29:30
Chr1_30	10343240	10745320	29	31	29:30:31
Chr1_31	10614759	10837308	30	32	30:31:32
Chr1_32	10816879	11120485	31	33	31:32:33
Chr1_33	11016905	11282301	32	34	32:33:34
Chr1_34	11250138	11538912	33	35	33:34:35
Chr1_35	11375472	11858316	34	36	34:35:36
Chr1_36	11626449	11992647	35	37	35:36:37
Chr1_37	11911076	12122843	36	38	36:37:38
Chr1_38	12044376	12224569	37	39	37:38:39
Chr1_39	12132993	12316803	38	40	38:39:40
Chr1_40	12280904	12377719	39	41	39:40:41
Chr1_41	12343453	12665774	40	42	40:41:42
Chr1_42	12475537	12816388	41	43	41:42:43
Chr1_43	12704431	13112248	42	44	42:43:44
Chr1_44	12990349	13311753	43	45	43:44:45
Chr1_45	13278836	13546625	44	46	44:45:46
Chr1_46	13332402	14053928	45	47	45:46:47
Chr1_47	13993655	14155913	46	48	46:47:48
Chr1_48	14129213	14506026	47	49	47:48:49
Chr1_49	14299950	15623101	48	50	48:49:50
Chr1_50	15500488	15740510	49	51	49:50:51
Chr1_51	15633024	15858286	50	52	50:51:52
Chr1_52	15758256	16090970	51	53	51:52:53
Chr1_53	16026160	16097351	52	54	52:53:54
Chr1_54	16091522	16390983	53	55	53:54:55
Chr1_55	16210979	16501635	54	56	54:55:56
Chr1_56	16468551	16632544	55	57	55:56:57
