chr_window	start	stop	ADref	ADalt	DP	nbSNP_Aref	nbSNP_Aalt	tot_snps
Chr1_1	1	10000	172	0	172	22	0	22
Chr1_2	5001	15000	142	0	142	15	0	15
Chr1_3	10001	20000	85	0	85	9	0	9
Chr1_4	15001	25000	59	0	59	11	0	11
Chr1_5	20001	30000	76	0	76	15	0	15
Chr1_6	25001	35000	69	0	69	13	0	13
Chr1_7	30001	40000	60	0	60	11	0	11
Chr1_8	35001	45000	68	0	68	11	0	11
Chr1_9	40001	50000	72	0	72	12	0	12
Chr1_10	45001	55000	36	0	36	7	0	7
Chr1_11	50001	60000	68	0	68	10	0	10
Chr1_12	55001	65000	143	0	143	22	0	22
Chr1_13	60001	70000	235	1	236	38	1	38
Chr1_14	65001	75000	283	1	284	47	1	47
Chr1_15	70001	80000	276	0	276	49	0	49
Chr1_16	75001	85000	241	0	241	39	0	39
Chr1_17	80001	90000	216	5	221	38	3	38
Chr1_18	85001	95000	185	5	190	39	3	39
Chr1_19	90001	100000	115	0	115	24	0	24
Chr1_20	95001	105000	114	0	114	21	0	21
Chr1_21	100001	110000	72	0	72	14	0	14
Chr1_22	105001	115000	5	0	5	3	0	3
Chr1_23	110001	120000	7	0	7	1	0	1
Chr1_24	115001	125000	7	0	7	1	0	1
Chr1_25	120001	130000	17	0	17	4	0	4
Chr1_26	125001	135000	33	0	33	6	0	6
Chr1_27	130001	140000	16	0	16	2	0	2
Chr1_28	135001	145000	0	0	0	0	0	0
Chr1_29	140001	150000	10	0	10	1	0	1
Chr1_30	145001	155000	21	0	21	3	0	3
Chr1_31	150001	160000	11	0	11	2	0	2
Chr1_32	155001	165000	0	0	0	0	0	0
Chr1_33	160001	170000	0	0	0	0	0	0
Chr1_34	165001	175000	0	0	0	0	0	0
Chr1_35	170001	180000	0	0	0	0	0	0
Chr1_36	175001	185000	0	0	0	0	0	0
Chr1_37	180001	190000	0	0	0	0	0	0
Chr1_38	185001	195000	0	0	0	0	0	0
Chr1_39	190001	200000	4	0	4	1	0	1
Chr1_40	195001	205000	4	0	4	1	0	1
Chr1_41	200001	210000	11	0	11	1	0	1
Chr1_42	205001	215000	11	0	11	1	0	1
Chr1_43	210001	220000	11	0	11	3	0	3
Chr1_44	215001	225000	11	0	11	3	0	3
Chr1_45	220001	230000	49	0	49	7	0	7
Chr1_46	225001	235000	201	1	202	30	1	30
Chr1_47	230001	240000	189	1	190	42	1	42
Chr1_48	235001	245000	51	0	51	21	0	21
Chr1_49	240001	250000	19	0	19	4	0	4
Chr1_50	245001	255000	14	0	14	5	0	5
Chr1_51	250001	260000	66	0	66	12	0	12
Chr1_52	255001	265000	121	0	121	22	0	22
Chr1_53	260001	270000	131	0	131	23	0	23
Chr1_54	265001	275000	101	1	102	16	1	17
Chr1_55	270001	280000	122	1	123	19	1	20
Chr1_56	275001	285000	120	0	120	20	0	20
Chr1_57	280001	290000	74	0	74	15	0	15
Chr1_58	285001	295000	210	0	210	39	0	39
Chr1_59	290001	300000	200	0	200	40	0	40
Chr1_60	295001	305000	106	0	106	23	0	23
Chr1_61	300001	310000	161	0	161	28	0	28
Chr1_62	305001	315000	142	0	142	24	0	24
Chr1_63	310001	320000	146	0	146	22	0	22
Chr1_64	315001	325000	166	0	166	22	0	22
Chr1_65	320001	330000	136	0	136	20	0	20
Chr1_66	325001	335000	103	0	103	18	0	18
Chr1_67	330001	340000	85	0	85	15	0	15
Chr1_68	335001	345000	174	0	174	36	0	36
Chr1_69	340001	350000	229	0	229	45	0	45
Chr1_70	345001	355000	379	0	379	52	0	52
Chr1_71	350001	360000	304	0	304	41	0	41
Chr1_72	355001	365000	85	0	85	16	0	16
Chr1_73	360001	370000	179	0	179	27	0	27
Chr1_74	365001	375000	246	0	246	31	0	31
Chr1_75	370001	380000	267	0	267	35	0	35
Chr1_76	375001	385000	268	0	268	43	0	43
Chr1_77	380001	390000	324	0	324	53	0	53
Chr1_78	385001	395000	253	0	253	44	0	44
Chr1_79	390001	400000	147	0	147	32	0	32
Chr1_80	395001	405000	188	0	188	32	0	32
Chr1_81	400001	410000	178	0	178	29	0	29
Chr1_82	405001	415000	188	0	188	45	0	45
Chr1_83	410001	420000	303	0	303	50	0	50
Chr1_84	415001	425000	494	0	494	56	0	56
Chr1_85	420001	430000	510	0	510	86	0	86
Chr1_86	425001	435000	241	0	241	58	0	58
Chr1_87	430001	440000	182	1	183	42	1	42
Chr1_88	435001	445000	351	1	352	71	1	71
Chr1_89	440001	450000	310	0	310	52	0	52
Chr1_90	445001	455000	235	0	235	44	0	44
