chr_window	start	stop	ADref	ADalt	DP
Chr1_1	250461	1098586	16	18	34
Chr1_2	1579976	1754785	36	36	72
Chr1_3	1931254	2382166	49	47	96
Chr1_4	2263245	3348474	57	50	107
Chr1_5	2425803	4328503	54	55	109
Chr1_6	3822844	4492839	54	60	114
Chr1_7	4395326	4796463	54	66	120
Chr1_8	4507768	5067846	55	61	116
Chr1_9	4976250	5440071	50	47	97
Chr1_10	5200189	5856286	41	39	80
Chr1_11	5514964	6698327	35	37	72
Chr1_12	6161053	7053463	35	43	78
Chr1_13	6772091	7305335	38	47	85
Chr1_14	7137682	7670158	44	49	93
Chr1_15	7466591	8246532	53	49	102
Chr1_16	8093651	9197599	57	53	110
Chr1_17	8603638	9705263	55	56	111
Chr1_18	9465971	9929918	48	50	98
Chr1_19	9841070	10484765	52	40	92
Chr1_20	9981938	10816879	59	31	90
Chr1_21	10614759	11120485	62	36	98
Chr1_22	10837308	11375472	55	49	104
Chr1_23	11250138	11858316	43	62	105
Chr1_24	11538912	12044376	41	73	114
Chr1_25	11911076	12224569	52	75	127
Chr1_26	12122843	12343453	64	65	129
Chr1_27	12280904	12665774	65	51	116
Chr1_28	12377719	12990349	58	44	102
Chr1_29	12704431	13311753	54	44	98
Chr1_30	13112248	13993655	58	43	101
Chr1_31	13332402	14155913	54	34	88
Chr1_32	14053928	15500488	47	23	70
Chr1_33	14299950	15740510	44	26	70
Chr1_34	15623101	16026160	57	37	94
Chr1_35	15758256	16097351	74	48	122
Chr1_36	16090970	16468551	74	49	123
Chr1_37	16210979	16632544	65	43	108
Chr1_38	16501635	17296501	55	39	94
Chr1_39	16934677	17494580	47	34	81
Chr1_40	17429863	17985253	38	30	68
Chr1_41	17611670	18411725	30	37	67
Chr1_42	17991187	18770881	33	52	85
Chr1_43	18678696	19517104	36	63	99
Chr1_44	19457685	20064072	30	58	88
Chr1_45	19764710	20398622	20	42	62
Chr1_46	20135078	20538108	20	43	63
Chr1_47	20481963	20920151	28	56	84
Chr1_48	20789190	21333689	38	67	105
Chr1_49	21092504	21413768	41	61	102
Chr1_50	21337405	22201447	43	43	86
Chr1_51	21510084	23467167	51	43	94
Chr1_52	22376869	23771998	53	53	106
Chr1_53	23532148	23838579	51	62	113
Chr1_54	23805670	23960974	43	60	103
Chr1_55	23865144	24188325	40	47	87
Chr1_56	23982881	25393273	42	43	85
Chr1_57	24879021	25756681	43	39	82
Chr1_58	25408591	26351282	42	35	77
Chr1_59	25969512	26996982	43	35	78
Chr1_60	26412354	27302346	53	42	95
Chr1_61	27020144	27524931	65	58	123
Chr1_62	27330195	27931677	74	72	146
Chr1_63	27613045	28054800	70	78	148
Chr1_64	27936625	28259383	60	75	135
Chr1_65	28095886	28911362	52	64	116
Chr1_66	28800366	29061063	46	49	95
Chr1_67	28940568	29385770	46	41	87
Chr1_68	29272174	29694162	47	40	87
Chr1_69	29544774	30143351	42	35	77
Chr1_70	29968812	30143351	28	22	50
Chr2_1	103278	279510	18	18	36
Chr2_2	351245	789064	34	34	68
Chr2_3	1284745	2223902	40	39	79
Chr2_4	2036649	2604215	45	51	96
Chr2_5	2232251	3647609	45	49	94
Chr2_6	3153568	4150394	57	45	102
Chr2_7	3724604	4734215	77	44	121
Chr2_8	4321542	5316042	95	48	143
Chr2_9	4936550	5387072	90	50	140
Chr2_10	5334753	5623628	71	51	122
Chr2_11	5404543	5885166	55	47	102
Chr2_12	5652916	7128425	62	40	102
