chr_window	start	stop	nb_snps
Chr1_1	250461	1098586	3
Chr1_2	1579976	1754785	3
Chr1_3	1931254	2382166	6
Chr1_4	2263245	3348474	6
Chr1_5	2425803	4328503	6
Chr1_6	3822844	4492839	6
Chr1_7	4395326	4796463	6
Chr1_8	4507768	5067846	6
Chr1_9	4976250	5440071	6
Chr1_10	5200189	5856286	6
Chr1_11	5514964	6698327	6
Chr1_12	6161053	7053463	6
Chr1_13	6772091	7305335	6
Chr1_14	7137682	7670158	6
Chr1_15	7466591	8246532	6
Chr1_16	8093651	9197599	6
Chr1_17	8603638	9705263	6
Chr1_18	9465971	9929918	6
Chr1_19	9841070	10484765	6
Chr1_20	9981938	10816879	6
Chr1_21	10614759	11120485	6
Chr1_22	10837308	11375472	6
Chr1_23	11250138	11858316	6
Chr1_24	11538912	12044376	6
Chr1_25	11911076	12224569	6
Chr1_26	12122843	12343453	6
Chr1_27	12280904	12665774	6
Chr1_28	12377719	12990349	6
Chr1_29	12704431	13311753	6
Chr1_30	13112248	13993655	6
Chr1_31	13332402	14155913	6
Chr1_32	14053928	15500488	6
Chr1_33	14299950	15740510	6
Chr1_34	15623101	16026160	6
Chr1_35	15758256	16097351	6
Chr1_36	16090970	16468551	6
Chr1_37	16210979	16632544	6
Chr1_38	16501635	17296501	6
Chr1_39	16934677	17494580	6
Chr1_40	17429863	17985253	6
Chr1_41	17611670	18411725	6
Chr1_42	17991187	18770881	6
Chr1_43	18678696	19517104	6
Chr1_44	19457685	20064072	6
Chr1_45	19764710	20398622	6
Chr1_46	20135078	20538108	6
Chr1_47	20481963	20920151	6
Chr1_48	20789190	21333689	6
Chr1_49	21092504	21413768	6
Chr1_50	21337405	22201447	6
Chr1_51	21510084	23467167	6
Chr1_52	22376869	23771998	6
Chr1_53	23532148	23838579	6
Chr1_54	23805670	23960974	6
Chr1_55	23865144	24188325	6
Chr1_56	23982881	25393273	6
Chr1_57	24879021	25756681	6
Chr1_58	25408591	26351282	6
Chr1_59	25969512	26996982	6
Chr1_60	26412354	27302346	6
Chr1_61	27020144	27524931	6
Chr1_62	27330195	27931677	6
Chr1_63	27613045	28054800	6
Chr1_64	27936625	28259383	6
Chr1_65	28095886	28911362	6
Chr1_66	28800366	29061063	6
Chr1_67	28940568	29385770	6
Chr1_68	29272174	29694162	6
Chr1_69	29544774	30143351	6
Chr1_70	29968812	30143351	3
Chr2_1	103278	279510	3
Chr2_2	351245	789064	3
Chr2_3	1284745	2223902	6
Chr2_4	2036649	2604215	6
Chr2_5	2232251	3647609	6
Chr2_6	3153568	4150394	6
Chr2_7	3724604	4734215	6
Chr2_8	4321542	5316042	6
Chr2_9	4936550	5387072	6
Chr2_10	5334753	5623628	6
Chr2_11	5404543	5885166	6
Chr2_12	5652916	7128425	6
Chr2_13	6590072	8076637	6
Chr2_14	7308817	8382328	6
Chr2_15	8294845	8698689	6
Chr2_16	8392992	8857389	6
Chr2_17	8805621	9379272	6
Chr2_18	9111114	9703237	6
Chr2_19	9506858	10458130	6
Chr2_20	9760545	10969938	6
Chr2_21	10545468	11163585	6
Chr2_22	11034201	11430413	6
Chr2_23	11211623	11576476	6
Chr2_24	11435198	12068380	6
Chr2_25	11831036	12341713	6
Chr2_26	12324982	12560712	6
Chr2_27	12486243	12892336	6
Chr2_28	12733163	13419885	6
Chr2_29	12914794	14767358	6
Chr2_30	13513481	15064626	6
Chr2_31	14949699	16076499	6
Chr2_32	15823236	17080225	6
Chr2_33	16430072	17309433	6
Chr2_34	17108813	18466737	6
Chr2_35	17434848	18995024	6
Chr2_36	18778049	18995024	3
Chr2_37	19654239	19654239	1
Chr3_1	342917	707088	3
Chr3_2	712969	757505	3
Chr3_3	1029809	1594452	6
Chr3_4	1381923	2097197	6
Chr3_5	1845970	2317258	6
Chr3_6	2180118	3514193	6
Chr3_7	2705185	3628749	6
Chr3_8	3519002	4179869	6
Chr3_9	3702735	4948240	6
Chr3_10	4825657	5376654	6
Chr3_11	5077691	5482229	6
Chr3_12	5388573	5853605	6
Chr3_13	5589673	5986335	6
Chr3_14	5909262	6452009	6
Chr3_15	5996514	6755096	6
Chr3_16	6512422	6862824	6
Chr3_17	6756578	7011240	6
Chr3_18	6879359	7236458	6
Chr3_19	7123271	7633410	6
Chr3_20	7239000	8033123	6
Chr3_21	7778781	8354676	6
Chr3_22	8210112	9072645	6
Chr3_23	8782547	9191641	6
Chr3_24	9144619	9287221	6
Chr3_25	9210057	9796537	6
Chr3_26	9355847	10596666	6
Chr3_27	9921946	12736734	6
Chr3_28	11065171	13692909	6
Chr3_29	13064226	14237365	6
Chr3_30	13693246	14694148	6
Chr3_31	14350450	16319342	6
Chr3_32	14863295	17283792	6
Chr3_33	17198514	17450150	6
Chr3_34	17360725	17774419	6
Chr3_35	17506131	17946707	6
Chr3_36	17842974	18401817	6
Chr3_37	17984416	18566528	6
Chr3_38	18497869	18797997	6
Chr3_39	18672194	19106123	6
Chr3_40	18978128	19606573	6
Chr3_41	19199991	20627972	6
Chr3_42	20185121	20870820	6
Chr3_43	20667999	21289951	6
Chr3_44	21090564	21417659	6
Chr3_45	21343950	21693992	6
Chr3_46	21425206	22052994	6
Chr3_47	21742064	22198992	6
Chr3_48	22117707	22446767	6
Chr3_49	22292793	23007987	6
Chr3_50	22513483	23007987	3
Chr3_51	23074983	23451995	2
Chr4_1	108535	754623	3
Chr4_2	755432	1505911	3
Chr4_3	2490935	4357668	6
Chr4_4	4189160	4794287	6
Chr4_5	4427836	5112498	6
Chr4_6	4865860	6139987	6
Chr4_7	5593193	6480520	6
Chr4_8	6340217	6677617	6
Chr4_9	6563102	7760881	6
Chr4_10	7307915	8103206	6
Chr4_11	7866707	8368900	6
Chr4_12	8181864	8697332	6
Chr4_13	8476826	9121153	6
Chr4_14	8906051	9555945	6
Chr4_15	9308071	9923722	6
Chr4_16	9759883	10151788	6
Chr4_17	10028464	10611427	6
Chr4_18	10164235	10929683	6
Chr4_19	10699709	11390861	6
Chr4_20	10995810	11660199	6
Chr4_21	11551870	11865956	6
Chr4_22	11754197	12163540	6
Chr4_23	11897227	12568489	6
Chr4_24	12178606	13158756	6
Chr4_25	12943928	13636705	6
Chr4_26	13184593	14243183	6
Chr4_27	13739959	14833803	6
Chr4_28	14315609	15049166	6
Chr4_29	14907081	15312429	6
Chr4_30	15164081	16358049	6
Chr4_31	15486128	17106883	6
Chr4_32	16418955	17612523	6
Chr4_33	17203845	18032088	6
Chr4_34	17724206	18475425	6
Chr4_35	18353380	18475425	3
Chr4_36	18488278	18488278	1
Chr5_1	711634	884595	3
Chr5_2	1053341	2174214	3
Chr5_3	2265208	3412112	6
Chr5_4	3235872	3751051	6
Chr5_5	3507550	4168082	6
Chr5_6	3911711	4590791	6
Chr5_7	4547066	4663296	6
Chr5_8	4590795	5143873	6
Chr5_9	4732959	6143273	6
Chr5_10	5518672	7079120	6
Chr5_11	6831327	7889605	6
Chr5_12	7242028	8232480	6
Chr5_13	8063604	9326639	6
Chr5_14	8512972	9543207	6
Chr5_15	9337226	9842090	6
Chr5_16	9559932	10075669	6
Chr5_17	9983036	10930647	6
Chr5_18	10209214	11287290	6
Chr5_19	10931377	11405713	6
Chr5_20	11361449	11504027	6
Chr5_21	11433141	12966636	6
Chr5_22	12133415	13143017	6
Chr5_23	13040450	15415369	6
Chr5_24	14972752	16980547	6
Chr5_25	16182978	18693604	6
Chr5_26	17129034	20133763	6
Chr5_27	19050926	21058398	6
Chr5_28	20914321	22400309	6
Chr5_29	21815967	22769226	6
Chr5_30	22575728	24178178	6
Chr5_31	23014271	25280627	6
Chr5_32	24669245	25280627	3
Chr5_33	25600633	26036538	2
