chr_window	start	stop	ADref	ADalt	DP
Chr1_1	1	10000	172	0	172
Chr1_2	5001	15000	172	0	172
Chr1_3	10001	20000	0	0	0
Chr1_4	15001	25000	0	0	0
Chr1_5	20001	30000	0	0	0
Chr1_6	25001	35000	0	0	0
Chr1_7	30001	40000	0	0	0
Chr1_8	35001	45000	0	0	0
Chr1_9	40001	50000	0	0	0
Chr1_10	45001	55000	0	0	0
Chr1_11	50001	60000	143	0	143
Chr1_12	55001	65000	378	1	379
Chr1_13	60001	70000	661	2	663
Chr1_14	65001	75000	794	2	796
Chr1_15	70001	80000	800	1	801
Chr1_16	75001	85000	733	5	738
Chr1_17	80001	90000	642	10	652
Chr1_18	85001	95000	516	10	526
Chr1_19	90001	100000	414	5	419
Chr1_20	95001	105000	229	0	229
Chr1_21	100001	110000	114	0	114
Chr1_22	105001	115000	0	0	0
Chr1_23	110001	120000	0	0	0
Chr1_24	115001	125000	0	0	0
Chr1_25	120001	130000	0	0	0
Chr1_26	125001	135000	0	0	0
Chr1_27	130001	140000	0	0	0
Chr1_28	135001	145000	0	0	0
Chr1_29	140001	150000	0	0	0
Chr1_30	145001	155000	0	0	0
Chr1_31	150001	160000	0	0	0
Chr1_32	155001	165000	0	0	0
Chr1_33	160001	170000	0	0	0
Chr1_34	165001	175000	0	0	0
Chr1_35	170001	180000	0	0	0
Chr1_36	175001	185000	0	0	0
Chr1_37	180001	190000	0	0	0
Chr1_38	185001	195000	0	0	0
Chr1_39	190001	200000	0	0	0
Chr1_40	195001	205000	0	0	0
Chr1_41	200001	210000	0	0	0
Chr1_42	205001	215000	0	0	0
Chr1_43	210001	220000	0	0	0
Chr1_44	215001	225000	0	0	0
Chr1_45	220001	230000	201	1	202
Chr1_46	225001	235000	390	2	392
Chr1_47	230001	240000	441	2	443
Chr1_48	235001	245000	240	1	241
Chr1_49	240001	250000	51	0	51
Chr1_50	245001	255000	0	0	0
Chr1_51	250001	260000	121	0	121
Chr1_52	255001	265000	252	0	252
Chr1_53	260001	270000	353	1	354
Chr1_54	265001	275000	354	2	356
Chr1_55	270001	280000	343	2	345
Chr1_56	275001	285000	242	1	243
Chr1_57	280001	290000	330	0	330
Chr1_58	285001	295000	410	0	410
Chr1_59	290001	300000	516	0	516
Chr1_60	295001	305000	467	0	467
Chr1_61	300001	310000	409	0	409
Chr1_62	305001	315000	449	0	449
Chr1_63	310001	320000	454	0	454
Chr1_64	315001	325000	448	0	448
Chr1_65	320001	330000	405	0	405
Chr1_66	325001	335000	239	0	239
Chr1_67	330001	340000	277	0	277
Chr1_68	335001	345000	403	0	403
Chr1_69	340001	350000	782	0	782
Chr1_70	345001	355000	912	0	912
Chr1_71	350001	360000	768	0	768
Chr1_72	355001	365000	568	0	568
Chr1_73	360001	370000	510	0	510
Chr1_74	365001	375000	692	0	692
Chr1_75	370001	380000	781	0	781
Chr1_76	375001	385000	859	0	859
Chr1_77	380001	390000	845	0	845
Chr1_78	385001	395000	724	0	724
Chr1_79	390001	400000	588	0	588
Chr1_80	395001	405000	513	0	513
Chr1_81	400001	410000	554	0	554
Chr1_82	405001	415000	669	0	669
Chr1_83	410001	420000	985	0	985
Chr1_84	415001	425000	1307	0	1307
Chr1_85	420001	430000	1245	0	1245
Chr1_86	425001	435000	933	1	934
Chr1_87	430001	440000	774	2	776
Chr1_88	435001	445000	843	2	845
Chr1_89	440001	450000	896	1	897
Chr1_90	445001	455000	859	1	860
Chr1_91	450001	460000	887	2	889
Chr1_92	455001	465000	919	2	921
Chr1_93	460001	470000	768	1	769
Chr1_94	465001	475000	796	1	797
Chr1_95	470001	480000	908	3	911
Chr1_96	475001	485000	975	4	979
Chr1_97	480001	490000	927	3	930
Chr1_98	485001	495000	756	1	757
Chr1_99	490001	500000	684	1	685
Chr1_100	495001	505000	597	2	599
Chr1_101	500001	510000	573	2	575
Chr1_102	505001	515000	588	1	589
Chr1_103	510001	520000	648	1	649
Chr1_104	515001	525000	744	2	746
Chr1_105	520001	530000	859	3	862
Chr1_106	525001	535000	828	3	831
Chr1_107	530001	540000	676	2	678
Chr1_108	535001	545000	515	1	516
Chr1_109	540001	550000	408	0	408
Chr1_110	545001	555000	410	0	410
Chr1_111	550001	560000	377	0	377
Chr1_112	555001	565000	365	0	365
Chr1_113	560001	570000	425	0	425
Chr1_114	565001	575000	463	0	463
Chr1_115	570001	580000	518	0	518
Chr1_116	575001	585000	548	0	548
Chr1_117	580001	590000	553	0	553
Chr1_118	585001	595000	554	0	554
Chr1_119	590001	600000	523	0	523
Chr1_120	595001	605000	838	0	838
Chr1_121	600001	610000	1115	0	1115
Chr1_122	605001	615000	1078	0	1078
Chr1_123	610001	620000	789	0	789
Chr1_124	615001	625000	653	0	653
Chr1_125	620001	630000	832	0	832
Chr1_126	625001	635000	799	0	799
Chr1_127	630001	640000	552	0	552
Chr1_128	635001	645000	221	0	221
Chr1_129	640001	650000	91	0	91
Chr1_130	645001	655000	0	0	0
Chr1_131	650001	660000	98	0	98
Chr1_132	655001	665000	98	0	98
Chr1_133	660001	670000	98	0	98
Chr1_134	665001	675000	99	0	99
Chr1_135	670001	680000	99	0	99
Chr1_136	675001	685000	99	0	99
Chr1_137	680001	690000	104	0	104
Chr1_138	685001	695000	226	0	226
Chr1_139	690001	700000	384	0	384
Chr1_140	695001	705000	413	0	413
Chr1_141	700001	710000	365	0	365
Chr1_142	705001	715000	207	0	207
Chr1_143	710001	720000	74	0	74
Chr1_144	715001	725000	0	0	0
Chr1_145	720001	730000	0	0	0
Chr1_146	725001	735000	90	0	90
Chr1_147	730001	740000	196	0	196
Chr1_148	735001	745000	358	1	359
Chr1_149	740001	750000	412	2	414
Chr1_150	745001	755000	393	2	395
Chr1_151	750001	760000	390	5	395
Chr1_152	755001	765000	477	8	485
Chr1_153	760001	770000	615	8	623
Chr1_154	765001	775000	607	5	612
Chr1_155	770001	780000	461	2	463
Chr1_156	775001	785000	401	2	403
Chr1_157	780001	790000	503	1	504
Chr1_158	785001	795000	555	0	555
Chr1_159	790001	800000	390	0	390
Chr1_160	795001	805000	137	0	137
Chr1_161	800001	810000	89	0	89
Chr1_162	805001	815000	165	0	165
Chr1_163	810001	820000	165	0	165
Chr1_164	815001	825000	76	0	76
Chr1_165	820001	830000	0	0	0
Chr1_166	825001	835000	0	0	0
Chr1_167	830001	840000	0	0	0
Chr1_168	835001	845000	0	0	0
Chr1_169	840001	850000	117	0	117
Chr1_170	845001	855000	249	1	250
Chr1_171	850001	860000	693	3	696
Chr1_172	855001	865000	992	4	996
Chr1_173	860001	870000	974	3	977
Chr1_174	865001	875000	725	1	726
Chr1_175	870001	880000	471	0	471
Chr1_176	875001	885000	430	0	430
Chr1_177	880001	890000	235	0	235
Chr1_178	885001	895000	214	1	215
Chr1_179	890001	900000	330	1	331
Chr1_180	895001	905000	442	1	443
Chr1_181	900001	910000	484	15	499
Chr1_182	905001	915000	806	30	836
Chr1_183	910001	920000	1136	30	1166
Chr1_184	915001	925000	1055	15	1070
Chr1_185	920001	930000	642	1	643
Chr1_186	925001	935000	319	2	321
Chr1_187	930001	940000	217	2	219
Chr1_188	935001	945000	119	1	120
Chr1_189	940001	950000	0	0	0
Chr1_190	945001	955000	0	0	0
Chr1_191	950001	960000	0	0	0
Chr1_192	955001	965000	0	0	0
Chr1_193	960001	970000	0	0	0
Chr1_194	965001	975000	0	0	0
Chr1_195	970001	980000	0	0	0
Chr1_196	975001	985000	0	0	0
Chr1_197	980001	990000	0	0	0
Chr1_198	985001	995000	0	0	0
Chr1_199	990001	1000000	100	1	101
Chr1_200	995001	1005000	215	1	216
Chr1_201	1000001	1010000	215	1	216
Chr1_202	1005001	1015000	115	0	115
Chr1_203	1010001	1020000	0	0	0
Chr1_204	1015001	1025000	0	0	0
Chr1_205	1020001	1030000	0	0	0
Chr1_206	1025001	1035000	0	0	0
Chr1_207	1030001	1040000	105	1	106
Chr1_208	1035001	1045000	258	2	260
Chr1_209	1040001	1050000	342	2	344
Chr1_210	1045001	1055000	309	1	310
Chr1_211	1050001	1060000	258	0	258
Chr1_212	1055001	1065000	174	0	174
Chr1_213	1060001	1070000	102	0	102
Chr1_214	1065001	1075000	0	0	0
Chr1_215	1070001	1080000	0	0	0
Chr1_216	1075001	1085000	0	0	0
Chr1_217	1080001	1090000	0	0	0
Chr1_218	1085001	1095000	0	0	0
Chr1_219	1090001	1100000	0	0	0
Chr1_220	1095001	1105000	0	0	0
Chr1_221	1100001	1110000	0	0	0
Chr1_222	1105001	1115000	0	0	0
Chr1_223	1110001	1120000	0	0	0
Chr1_224	1115001	1125000	130	0	130
Chr1_225	1120001	1130000	250	0	250
Chr1_226	1125001	1135000	250	0	250
Chr1_227	1130001	1140000	412	1	413
Chr1_228	1135001	1145000	580	2	582
Chr1_229	1140001	1150000	580	2	582
Chr1_230	1145001	1155000	454	2	456
Chr1_231	1150001	1160000	420	2	422
Chr1_232	1155001	1165000	558	2	560
Chr1_233	1160001	1170000	392	1	393
Chr1_234	1165001	1175000	138	0	138
Chr1_235	1170001	1180000	0	0	0
Chr1_236	1175001	1185000	0	0	0
Chr1_237	1180001	1190000	0	0	0
Chr1_238	1185001	1195000	0	0	0
Chr1_239	1190001	1200000	0	0	0
Chr1_240	1195001	1205000	0	0	0
Chr1_241	1200001	1210000	0	0	0
Chr1_242	1205001	1215000	0	0	0
Chr1_243	1210001	1220000	0	0	0
Chr1_244	1215001	1225000	0	0	0
Chr1_245	1220001	1230000	151	0	151
Chr1_246	1225001	1235000	359	0	359
Chr1_247	1230001	1240000	503	0	503
Chr1_248	1235001	1245000	352	0	352
Chr1_249	1240001	1250000	144	0	144
Chr1_250	1245001	1255000	0	0	0
Chr1_251	1250001	1260000	0	0	0
Chr1_252	1255001	1265000	0	0	0
Chr1_253	1260001	1270000	0	0	0
Chr1_254	1265001	1275000	198	0	198
Chr1_255	1270001	1280000	198	0	198
Chr1_256	1275001	1285000	198	0	198
Chr1_257	1280001	1290000	0	0	0
Chr1_258	1285001	1295000	0	0	0
Chr1_259	1290001	1300000	139	0	139
Chr1_260	1295001	1305000	341	0	341
Chr1_261	1300001	1310000	341	0	341
Chr1_262	1305001	1315000	202	0	202
Chr1_263	1310001	1320000	144	0	144
Chr1_264	1315001	1325000	300	0	300
Chr1_265	1320001	1330000	410	0	410
Chr1_266	1325001	1335000	396	0	396
Chr1_267	1330001	1340000	240	0	240
Chr1_268	1335001	1345000	130	0	130
Chr1_269	1340001	1350000	0	0	0
Chr1_270	1345001	1355000	0	0	0
Chr1_271	1350001	1360000	0	0	0
Chr1_272	1355001	1365000	0	0	0
Chr1_273	1360001	1370000	0	0	0
Chr1_274	1365001	1375000	0	0	0
Chr1_275	1370001	1380000	0	0	0
Chr1_276	1375001	1385000	0	0	0
Chr1_277	1380001	1390000	0	0	0
Chr1_278	1385001	1395000	0	0	0
Chr1_279	1390001	1400000	0	0	0
Chr1_280	1395001	1405000	0	0	0
Chr1_281	1400001	1410000	0	0	0
Chr1_282	1405001	1415000	0	0	0
Chr1_283	1410001	1420000	139	0	139
Chr1_284	1415001	1425000	429	19	448
Chr1_285	1420001	1430000	676	38	714
Chr1_286	1425001	1435000	736	38	774
Chr1_287	1430001	1440000	800	23	823
Chr1_288	1435001	1445000	789	8	797
Chr1_289	1440001	1450000	590	8	598
Chr1_290	1445001	1455000	361	4	365
Chr1_291	1450001	1460000	360	1	361
Chr1_292	1455001	1465000	547	2	549
Chr1_293	1460001	1470000	422	2	424
Chr1_294	1465001	1475000	187	1	188
Chr1_295	1470001	1480000	0	0	0
Chr1_296	1475001	1485000	0	0	0
Chr1_297	1480001	1490000	167	0	167
Chr1_298	1485001	1495000	346	0	346
Chr1_299	1490001	1500000	557	0	557
Chr1_300	1495001	1505000	821	0	821
Chr1_301	1500001	1510000	940	0	940
Chr1_302	1505001	1515000	729	0	729
Chr1_303	1510001	1520000	298	0	298
Chr1_304	1515001	1525000	144	0	144
Chr1_305	1520001	1530000	352	0	352
Chr1_306	1525001	1535000	352	0	352
Chr1_307	1530001	1540000	208	0	208
Chr1_308	1535001	1545000	138	0	138
Chr1_309	1540001	1550000	393	0	393
Chr1_310	1545001	1555000	639	0	639
Chr1_311	1550001	1560000	1205	1	1206
Chr1_312	1555001	1565000	1933	2	1935
Chr1_313	1560001	1570000	2168	2	2170
Chr1_314	1565001	1575000	1603	1	1604
Chr1_315	1570001	1580000	620	0	620
Chr1_316	1575001	1585000	300	0	300
Chr1_317	1580001	1590000	303	0	303
Chr1_318	1585001	1595000	303	0	303
Chr1_319	1590001	1600000	142	0	142
Chr1_320	1595001	1605000	0	0	0
Chr1_321	1600001	1610000	76	0	76
Chr1_322	1605001	1615000	136	0	136
Chr1_323	1610001	1620000	136	0	136
Chr1_324	1615001	1625000	60	0	60
Chr1_325	1620001	1630000	0	0	0
Chr1_326	1625001	1635000	0	0	0
Chr1_327	1630001	1640000	0	0	0
Chr1_328	1635001	1645000	107	0	107
Chr1_329	1640001	1650000	107	0	107
Chr1_330	1645001	1655000	107	0	107
Chr1_331	1650001	1660000	0	0	0
Chr1_332	1655001	1665000	126	0	126
Chr1_333	1660001	1670000	230	0	230
Chr1_334	1665001	1675000	230	0	230
Chr1_335	1670001	1680000	104	0	104
Chr1_336	1675001	1685000	0	0	0
Chr1_337	1680001	1690000	120	0	120
Chr1_338	1685001	1695000	267	0	267
Chr1_339	1690001	1700000	376	0	376
Chr1_340	1695001	1705000	256	0	256
Chr1_341	1700001	1710000	189	0	189
Chr1_342	1705001	1715000	380	1	381
Chr1_343	1710001	1720000	949	14	963
Chr1_344	1715001	1725000	1235	26	1261
Chr1_345	1720001	1730000	935	25	960
Chr1_346	1725001	1735000	366	12	378
Chr1_347	1730001	1740000	76	0	76
Chr1_348	1735001	1745000	193	0	193
Chr1_349	1740001	1750000	681	0	681
Chr1_350	1745001	1755000	1034	0	1034
Chr1_351	1750001	1760000	917	0	917
Chr1_352	1755001	1765000	429	0	429
Chr1_353	1760001	1770000	0	0	0
Chr1_354	1765001	1775000	145	0	145
Chr1_355	1770001	1780000	267	0	267
Chr1_356	1775001	1785000	267	0	267
Chr1_357	1780001	1790000	122	0	122
Chr1_358	1785001	1795000	0	0	0
Chr1_359	1790001	1800000	0	0	0
Chr1_360	1795001	1805000	0	0	0
Chr1_361	1800001	1810000	0	0	0
Chr1_362	1805001	1815000	0	0	0
Chr1_363	1810001	1820000	320	0	320
Chr1_364	1815001	1825000	623	0	623
Chr1_365	1820001	1830000	623	0	623
Chr1_366	1825001	1835000	303	0	303
Chr1_367	1830001	1840000	0	0	0
Chr1_368	1835001	1845000	111	1	112
Chr1_369	1840001	1850000	217	2	219
Chr1_370	1845001	1855000	298	2	300
Chr1_371	1850001	1860000	295	1	296
Chr1_372	1855001	1865000	351	0	351
Chr1_373	1860001	1870000	453	0	453
Chr1_374	1865001	1875000	345	0	345
Chr1_375	1870001	1880000	183	0	183
Chr1_376	1875001	1885000	172	0	172
Chr1_377	1880001	1890000	321	0	321
Chr1_378	1885001	1895000	321	0	321
Chr1_379	1890001	1900000	149	0	149
Chr1_380	1895001	1905000	0	0	0
Chr1_381	1900001	1910000	69	0	69
Chr1_382	1905001	1915000	141	0	141
Chr1_383	1910001	1920000	289	0	289
Chr1_384	1915001	1925000	356	0	356
Chr1_385	1920001	1930000	284	0	284
Chr1_386	1925001	1935000	136	0	136
Chr1_387	1930001	1940000	0	0	0
Chr1_388	1935001	1945000	122	0	122
Chr1_389	1940001	1950000	287	0	287
Chr1_390	1945001	1955000	390	0	390
Chr1_391	1950001	1960000	348	0	348
Chr1_392	1955001	1965000	297	0	297
Chr1_393	1960001	1970000	288	0	288
Chr1_394	1965001	1975000	309	0	309
Chr1_395	1970001	1980000	195	0	195
Chr1_396	1975001	1985000	101	0	101
Chr1_397	1980001	1990000	0	0	0
Chr1_398	1985001	1995000	116	0	116
Chr1_399	1990001	2000000	380	0	380
Chr1_400	1995001	2005000	805	0	805
Chr1_401	2000001	2010000	1049	0	1049
Chr1_402	2005001	2015000	1053	1	1054
Chr1_403	2010001	2020000	869	2	871
Chr1_404	2015001	2025000	678	2	680
Chr1_405	2020001	2030000	513	1	514
Chr1_406	2025001	2035000	272	0	272
Chr1_407	2030001	2040000	103	0	103
Chr1_408	2035001	2045000	0	0	0
Chr1_409	2040001	2050000	0	0	0
Chr1_410	2045001	2055000	0	0	0
Chr1_411	2050001	2060000	0	0	0
Chr1_412	2055001	2065000	0	0	0
Chr1_413	2060001	2070000	0	0	0
Chr1_414	2065001	2075000	0	0	0
Chr1_415	2070001	2080000	0	0	0
Chr1_416	2075001	2085000	110	0	110
Chr1_417	2080001	2090000	110	0	110
